POLICIES RLS ANTES DAS MIGRATIONS (21)
  checklist_templates | checklist_templates_select | SELECT
  checklist_templates | checklist_templates_write_sindico | ALL
  documents | documents_delete | DELETE
  documents | documents_insert | INSERT
  documents | documents_select | SELECT
  fornecedores | fornecedores_select | SELECT
  fornecedores | fornecedores_write_sindico | ALL
  maintenance_items | maintenance_items_select | SELECT
  maintenance_items | maintenance_items_write_sindico | ALL
  maintenance_records | maintenance_records_insert | INSERT
  maintenance_records | maintenance_records_select | SELECT
  maintenance_records | maintenance_records_update | UPDATE
  occurrences | occurrences_insert | INSERT
  occurrences | occurrences_select | SELECT
  occurrences | occurrences_update | UPDATE
  service_requests | service_requests_insert | INSERT
  service_requests | service_requests_select | SELECT
  service_requests | service_requests_update | UPDATE
  tasks | tasks_insert | INSERT
  tasks | tasks_select | SELECT
  tasks | tasks_update | UPDATE
